,Name,RegNo,Gender,8956-Place,8956-Points,8811-Place,8811-Points,8902-Place,8902-Points,8925-Place,8925-Points,8810-Place,8810-Points,Best3-Points,place
132,Černayová Diana,nereg.,F,,,,,67.,109,,,,,109,133
133,Kozlova Slavka,nereg.,M,,,,,71.,105,,,,,105,134
134,Marečková Iva,nereg.,F,,,,,73.,103,,,,,103,135
135,Kapitánová Jitka,nereg.,F,,,,,74.,102,,,,,102,136
136,Kadlecová Gabriela,BBM,F,,,,,75.,101,,,,,101,137
137,Bednaříková Emma,PBM0359,F,,,,,,,DISK,0,,,0,138
138,Kelina Ivanna,ZBM1156,F,,,DISK,0,,,,,,,0,138
139,Indrová Lucie,0010006,M,,,,,,,DISK,0,,,0,138
140,Mesiarkinová Kamila,ZBM8282,F,,,,,,,DISK,0,,,0,138
141,Paděrová Jana,nereg,F,,,,,,,,,DISK,0,0,138
142,Vespalcová Alena,nereg.,F,,,,,DISK,0,,,,,0,138
143,Toušová Zuzana,RBK8556,F,,,,,DISK,0,,,,,0,138
